,Random,Random,Random,Random,Random,Random,Defeat,Defeat,Defeat,Defeat,Defeat,Defeat,Minscore,Minscore,Minscore,Minscore,Minscore,Minscore,Mindist,Mindist,Mindist,Mindist,Mindist,Mindist,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp
,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp
58,-20,-20,-40,-20,-20,-20,20,0,-80,-80,-80,-80,20,80,-10,-10,-2,-2,40,80,-20,5,10,10,40,80,15,5,10,10,20,80,15,5,10,10
59,-20,-20,-20,-40,-40,20,20,-25,-80,-80,-80,-80,-20,80,16,41,5,16,40,80,-10,15,16,-62,20,80,-69,41,16,42,40,80,15,41,60,60
60,-20,-20,20,-40,-40,-40,20,0,-80,-80,-80,-80,-20,-20,-20,-20,-20,-20,-20,80,-79,-15,69,74,40,80,2,65,56,70,40,80,38,65,56,70
61,-20,-20,20,-40,-40,-40,20,0,-80,-80,-80,-80,-20,-20,-20,-20,-20,-20,20,80,-80,-80,-80,-80,-20,80,-80,-80,-80,-80,40,80,-80,-73,-80,-80
62,40,-40,-40,-20,-20,-40,40,0,-80,-80,-80,-80,40,-20,-20,-20,-20,-20,80,80,2,-80,4,9,20,80,-4,-44,-11,9,20,55,26,8,14,12
63,-20,-20,20,-40,-40,-20,20,0,-80,-80,-80,-80,-20,-20,-20,-20,-20,-20,20,80,-80,-79,-80,-79,20,80,-80,-80,-80,-80,40,80,-80,-77,-80,-77
64,20,-40,-20,-40,-40,-40,40,0,-80,-80,-80,-80,40,76,45,57,51,52,20,74,60,57,59,60,40,73,60,57,41,42,40,73,60,57,41,50
65,-20,-20,-20,-40,-40,-40,20,0,20,20,20,20,-20,80,20,20,20,20,40,80,20,20,20,20,40,80,20,20,20,20,40,80,20,20,20,20
66,-20,-20,-40,-40,-40,-40,20,0,-80,-80,-80,-80,-20,-20,-20,-20,-20,-20,20,80,-21,-21,-21,-21,40,80,-14,-14,-14,-14,-20,80,-14,-14,-14,-14
67,40,-40,-20,-20,-20,-20,40,0,-80,-80,-80,-80,-20,80,57,79,53,23,80,80,60,79,53,-11,20,80,15,19,72,26,20,80,5,-26,28,32
68,-40,-40,20,-34,-36,-77,40,-11,20,-80,-80,-80,-20,80,20,-14,-14,-14,40,80,20,-20,-20,-20,80,80,20,-21,-21,-21,78,80,20,-21,-21,-21
69,-20,-20,20,20,20,-40,20,0,-80,-80,-80,-80,40,80,-3,39,-3,10,40,80,13,29,-31,22,40,80,7,29,8,8,40,80,7,-19,8,10
70,-20,-20,20,-40,-40,-20,20,0,20,20,20,20,40,80,20,20,20,20,40,80,20,20,20,20,20,80,20,20,20,20,40,80,20,20,20,20
71,-40,-40,20,-40,-40,-20,40,0,20,-80,-80,-80,-20,80,20,-52,80,29,40,80,20,80,80,80,20,80,20,-74,-74,-74,-20,80,20,80,80,80
72,-40,-40,-40,-20,-20,-40,40,0,-80,-80,-80,-80,40,-20,-20,-20,-20,-20,40,80,12,31,35,-49,40,80,2,48,-2,-18,20,80,28,48,19,33
