Winner,Player1,Player2,Init.Score1,Init.Score2,Final.Score1,Final.Score2
0,MindistScore,Random,39,50,0,42
0,MindistScore,Random,64,75,0,80
0,MindistScore,Random,80,12,0,76
0,MindistScore,Random,29,15,0,80
0,MindistScore,Random,80,29,0,56
0,MindistScore,Random,74,80,0,80
0,MindistScore,Random,80,76,0,80
0,MindistScore,Random,66,67,0,80
0,MindistScore,Random,56,80,0,80
0,MindistScore,Random,80,20,0,80
0,MindistScore,Random,78,80,0,80
0,MindistScore,Random,80,67,0,74
0,MindistScore,Random,80,66,0,72
0,MindistScore,Random,27,79,0,80
0,MindistScore,Random,77,46,0,80
0,MindistScore,Random,78,80,0,60
0,MindistScore,Random,80,17,0,49
0,MindistScore,Random,69,80,0,62
0,MindistScore,Random,35,17,0,80
0,MindistScore,Random,75,53,0,80
0,MindistScore,Random,75,80,0,80
0,MindistScore,Random,28,80,0,80
1,MindistScore,Random,80,80,57,0
0,MindistScore,Random,80,80,0,70
0,MindistScore,Random,24,80,0,80
0,MindistScore,Random,24,80,0,80
0,MindistScore,Random,39,64,0,80
0,MindistScore,Random,66,19,0,42
0,MindistScore,Random,80,70,0,80
0,MindistScore,Random,72,53,0,71
0,MindistScore,Random,48,80,0,80
0,MindistScore,Random,55,69,0,49
0,MindistScore,Random,76,79,0,72
0,MindistScore,Random,72,11,0,15
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,75,79,0,80
0,MindistScore,Random,43,76,0,80
0,MindistScore,Random,45,35,0,48
0,MindistScore,Random,52,73,0,78
0,MindistScore,Random,64,80,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,16,70,0,80
0,MindistScore,Random,2,80,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,80,0,66
0,MindistScore,Random,71,80,0,80
0,MindistScore,Random,80,76,0,40
0,MindistScore,Random,80,49,0,49
0,MindistScore,Random,31,80,0,75
0,MindistScore,Random,74,77,0,72
0,MindistScore,Random,80,79,0,41
0,MindistScore,Random,77,25,0,80
0,MindistScore,Random,17,80,0,80
0,MindistScore,Random,28,34,0,78
0,MindistScore,Random,77,80,0,24
0,MindistScore,Random,76,80,0,80
0,MindistScore,Random,48,80,0,80
0,MindistScore,Random,45,39,0,70
0,MindistScore,Random,80,60,0,80
0,MindistScore,Random,61,80,0,80
0,MindistScore,Random,80,80,0,61
0,MindistScore,Random,80,76,0,80
0,MindistScore,Random,47,80,0,79
0,MindistScore,Random,18,80,0,65
0,MindistScore,Random,80,80,0,74
0,MindistScore,Random,33,32,0,80
0,MindistScore,Random,79,44,0,80
0,MindistScore,Random,40,80,0,80
0,MindistScore,Random,49,61,0,30
0,MindistScore,Random,46,80,0,54
0,MindistScore,Random,80,52,0,37
0,MindistScore,Random,80,54,0,51
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,25,0,49
0,MindistScore,Random,73,80,0,75
0,MindistScore,Random,18,33,0,23
0,MindistScore,Random,36,63,0,51
0,MindistScore,Random,80,24,0,50
0,MindistScore,Random,80,80,0,16
0,MindistScore,Random,77,80,0,80
0,MindistScore,Random,80,67,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,44,80,0,80
0,MindistScore,Random,53,49,0,27
0,MindistScore,Random,80,80,0,73
0,MindistScore,Random,24,70,0,62
0,MindistScore,Random,80,15,0,70
0,MindistScore,Random,57,80,0,80
0,MindistScore,Random,80,77,0,80
0,MindistScore,Random,80,50,0,80
0,MindistScore,Random,80,77,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,71,0,80
0,MindistScore,Random,76,80,0,76
0,MindistScore,Random,80,21,0,78
0,MindistScore,Random,46,80,0,80
0,MindistScore,Random,80,80,0,28
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,30,80,0,80
0,MindistScore,Random,64,50,0,80
0,MindistScore,Random,80,23,0,36
0,MindistScore,Random,74,80,0,80
0,MindistScore,Random,80,78,0,66
