"","Move","Player_1_Final1","Player_1_Final2","Player_2_Final1","Player_2_Final2","Player_1_Initial1","Player_1_Initial2","Player_2_Initial1","Player_2_Initial2","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"237",9,8,19,22,14,7,19,22,13,1,1,0,1,0,0,1,1,1,2,25,34
"238",10,8,24,22,18,8,19,22,14,4,4,5,4,4,0,5,4,2,2,30,38
"239",11,8,28,27,18,8,24,22,18,4,0,0,2,5,2,4,5,2,1,34,43
"240",12,8,30,27,20,8,28,27,18,2,2,0,2,0,0,2,2,2,2,36,45
"241",13,8,40,27,24,8,30,27,20,2,6,4,2,4,0,6,4,2,2,46,49
"242",14,8,42,27,29,8,40,27,24,2,0,0,5,4,2,2,5,2,2,48,54
"243",15,8,46,27,31,8,42,27,29,4,2,0,2,0,0,4,2,2,2,52,56
"244",16,12,46,33,33,8,46,27,31,3,4,6,3,6,0,4,6,1,1,56,64
"245",17,15,46,34,33,12,46,33,33,3,0,0,1,1,5,3,1,1,1,59,65
"246",18,15,47,34,33,15,46,34,33,1,5,0,5,0,0,1,0,2,0,60,65
"247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"248",1,1,6,4,1,1,1,1,1,5,3,2,3,2,0,5,3,2,1,5,3
"249",2,1,8,5,13,1,6,4,1,2,0,0,6,3,4,2,6,2,2,7,16
"250",3,1,12,5,16,1,8,5,13,3,4,0,3,0,0,4,3,2,2,11,19
"251",4,1,16,5,24,1,12,5,16,4,4,6,4,6,0,4,6,2,2,15,27
"252",5,1,20,9,24,1,16,5,24,4,0,0,2,4,5,4,4,2,1,19,31
"253",6,1,25,9,26,1,20,9,24,2,5,0,2,0,0,5,2,2,2,24,33
"254",7,6,1,13,3,1,25,9,26,3,3,2,3,2,0,3,2,1,2,5,14
"255",8,6,4,13,4,6,1,13,3,3,0,0,5,1,6,3,1,2,2,8,15
"256",9,19,4,13,9,6,4,13,4,5,6,0,5,0,0,6,5,1,2,21,20
"257",10,24,4,15,9,19,4,13,9,1,5,2,1,2,0,5,2,1,1,26,22
"258",11,25,4,15,14,24,4,15,9,1,0,0,3,5,6,1,5,1,2,27,27
"259",12,33,4,15,17,25,4,15,14,3,6,0,3,0,0,6,3,1,2,35,30
"260",13,33,9,15,20,33,4,15,17,1,3,5,1,3,0,5,3,2,2,40,33
"261",14,33,10,15,23,33,9,15,20,1,0,0,1,6,3,1,3,2,2,41,36
"262",15,35,16,16,23,33,10,15,23,1,6,0,1,0,0,6,1,2,1,49,37
"263",16,38,21,4,23,35,16,16,23,3,3,2,3,2,0,3,3,1,1,57,25
"264",17,40,21,5,23,38,21,4,23,2,0,0,1,1,1,2,1,1,1,59,26
"265",18,41,21,5,23,40,21,5,23,1,1,0,1,0,0,1,0,1,0,60,26
"266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"267",1,5,7,2,1,1,1,1,1,5,1,6,5,1,0,6,1,2,1,10,1
"268",2,5,12,2,6,5,7,2,1,5,0,0,5,5,1,5,5,2,2,15,6
"269",3,5,17,2,7,5,12,2,6,5,1,0,1,0,0,5,1,2,2,20,7
"270",4,10,17,2,11,5,17,2,7,5,4,2,4,2,0,5,4,1,2,25,11
"271",5,10,19,7,11,10,17,2,11,2,0,0,1,5,1,2,5,2,1,27,16
"272",6,10,20,8,11,10,19,7,11,1,1,0,1,0,0,1,1,2,1,28,17
"273",7,15,20,8,15,10,20,8,11,4,1,5,4,1,0,5,4,1,2,33,21
"274",8,16,20,12,15,15,20,8,15,1,0,0,5,2,4,1,4,1,1,34,25
"275",9,16,25,14,15,16,20,12,15,5,2,0,2,0,0,5,2,2,1,39,27
"276",10,22,26,14,19,16,25,14,15,4,6,4,4,4,0,6,4,1,2,46,31
"277",11,22,30,14,26,22,26,14,19,4,0,0,1,4,6,4,6,2,2,50,38
"278",12,26,30,14,27,22,30,14,26,1,4,0,1,0,0,4,1,1,2,54,39
"279",13,31,30,14,32,26,30,14,27,5,5,2,5,2,0,5,5,1,2,59,44
"280",14,33,30,14,34,31,30,14,32,2,0,0,2,1,2,2,2,1,2,61,46
"281",15,33,31,16,34,33,30,14,34,1,2,0,2,0,0,1,2,2,1,62,48
"282",16,37,31,16,36,33,31,16,34,2,4,2,2,2,0,4,2,1,2,66,50
