,mscore
1077,65
1078,79
1079,53
1080,64
1081,33
1082,53
1083,45
1084,17
1085,80
1086,58
1087,47
1088,47
1089,69
1090,58
1091,75
1092,29
1093,29
1094,21
1095,74
1096,55
1097,30
1098,18
1099,53
1100,40
1101,41
1102,80
1103,51
1104,78
1105,28
1106,21
1107,25
1108,20
1109,80
1110,44
1111,45
1112,64
1113,23
1114,32
1115,23
1116,26
1117,47
1118,60
1119,63
1120,32
1121,58
1122,4
1123,75
1124,52
1125,28
1126,80
1127,24
1128,31
1129,30
1130,28
1131,47
1132,29
1133,49
1134,47
1135,19
1136,26
1137,30
1138,33
1139,30
1140,42
1141,56
1142,42
1143,48
1144,70
1145,69
1146,36
1147,38
1148,40
1149,54
1150,33
1151,28
1152,45
1153,67
1154,43
1155,39
1156,22
1157,31
1158,50
1159,25
1160,50
1161,43
1162,31
1163,18
1164,51
1165,55
1166,75
1167,20
1168,65
1169,26
1170,37
1171,20
1172,17
1173,48
1174,49
1175,0
1176,41
1177,8
1178,43
1179,20
1180,46
1181,80
1182,35
1183,20
1184,41
1185,40
1186,50
1187,2
1188,7
1189,58
1190,37
1191,40
1192,22
1193,10
1194,37
1195,20
1196,24
1197,17
1198,53
1199,20
1200,49
1201,14
1202,45
1203,44
1204,25
1205,16
1206,34
1207,29
1208,75
1209,50
1210,59
1211,30
1212,3
1213,45
1214,49
1215,57
1216,71
1217,28
1218,33
1219,42
1220,19
1221,24
1222,20
1223,59
1224,42
1225,52
1226,46
1227,55
1228,3
1229,55
1230,30
1231,50
1232,22
1233,39
1234,47
1235,50
1236,22
1237,22
1238,23
1239,20
1240,58
1241,53
1242,40
1243,41
1244,14
1245,21
1246,43
1247,47
1248,80
1249,41
1250,68
1251,17
1252,51
1253,51
1254,38
1255,40
1256,62
1257,60
1258,32
1259,57
1260,79
1261,32
1262,27
1263,45
1264,44
1265,48
1266,36
1267,37
1268,17
1269,47
1270,44
1271,18
1272,27
1273,31
1274,46
1275,72
1276,71
1277,66
1278,23
1279,47
1280,47
1281,67
1282,17
1283,25
1284,54
1285,28
1286,58
1287,53
1288,48
1289,58
1290,15
1291,24
1292,43
1293,50
1294,19
1295,32
1296,23
1297,32
1298,44
1299,36
1300,65
1301,27
1302,42
1303,45
1304,23
1305,49
1306,47
1307,28
1308,34
1309,46
1310,21
1311,48
1312,42
1313,37
1314,80
1315,33
1316,37
1317,80
1318,44
1319,40
1320,49
1321,62
1322,36
1323,36
1324,15
1325,25
1326,49
1327,33
1328,49
1329,39
1330,24
1331,53
1332,52
1333,7
1334,45
1335,39
1336,39
1337,21
1338,49
1339,53
1340,39
1341,54
1342,53
1343,44
1344,20
1345,49
1346,33
1347,21
1348,51
1349,73
1350,32
1351,30
1352,24
1353,18
1354,35
1355,69
1356,17
1357,26
1358,49
1359,21
1360,29
1361,15
1362,35
1363,27
1364,76
1365,22
1366,31
1367,20
1368,50
1369,76
1370,52
1371,66
1372,49
1373,56
1374,30
1375,9
1376,74
1377,14
1378,76
1379,76
1380,23
1381,74
1382,10
1383,23
1384,75
1385,23
1386,19
1387,2
1388,44
1389,18
1390,23
1391,73
1392,11
1393,47
1394,22
1395,57
1396,58
1397,37
1398,51
1399,59
1400,52
1401,10
1402,35
1403,34
1404,30
1405,39
1406,80
1407,53
1408,73
1409,27
1410,69
1411,25
1412,79
1413,73
1414,43
1415,27
1416,40
1417,22
1418,80
1419,52
1420,77
1421,22
1422,7
1423,80
1424,21
1425,73
1426,43
1427,58
1428,41
