init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
40 30 50 35 23 16 25 33 52 45,3 39 51 1 5 28 19 17 49 21,32,16,0,1,12,42 40 41 45 30 31 6 13 16 7,3 51 1 19 17 49 50 14 52 15,1,2,0
6 7 36 11 33 49 48 41 30 52,21 22 37 9 46 12 39 19 16 13,27,15,0,1,12,36 49 52 37 24 14 0 41 28 3,21 22 9 39 19 13 48 40 18 20,1,0,2
27 9 25 38 47 36 50 43 7 5,14 23 1 34 44 45 20 3 4 21,0,12,0,1,8,9 7 8 5 6 27 38 26 43 30,1 44 20 3 4 21 19 31 39 18,1,1,1
18 21 47 19 7 30 5 26 3 20,33 25 34 42 35 9 41 23 1 22,6,31,0,1,3,18 21 19 20 26 0 3 30 5 7,33 25 34 42 35 41 23 22 40 24,3,0,0
50 37 47 6 39 17 44 52 29 32,46 23 18 41 11 34 12 33 15 28,24,0,23,0,6,50 39 13 37 47 49 6 32 45 52,46 18 41 11 33 15 28 17 49 2,0,1,2
0 9 51 22 30 18 48 44 1 11,41 21 10 6 37 5 35 4 14 8,19,33,0,1,4,9 22 48 0 1 15 41 30 18 44,21 6 37 5 35 4 8 34 47 52,0,2,1
26 7 1 47 33 18 29 8 48 42,37 11 6 30 20 44 52 40 36 50,32,34,0,1,3,47 8 19 26 1 40 29 42 18 7,37 11 6 30 20 52 50 17 33 24,0,0,3
52 35 15 40 43 24 39 48 1 31,23 0 16 50 37 47 13 32 36 29,51,12,0,1,11,3 16 42 35 48 22 39 1 40 2,23 0 50 37 13 36 24 49 52 10,0,0,3
49 41 14 17 12 39 20 23 31 38,6 51 36 24 33 3 9 42 8 0,1,0,60,0,3,14 39 41 12 38 51 49 23 36 52,6 51 33 3 9 42 8 20 2 30,0,1,2
12 43 47 17 4 16 30 52 2 8,15 23 42 44 5 34 29 7 35 28,19,0,41,0,5,4 2 3 30 31 29 17 16 15 18,42 44 5 34 29 7 35 28 52 8,3,0,0
41 18 25 22 11 28 42 24 36 21,52 17 33 37 8 43 34 19 39 2,20,48,0,1,3,11 24 50 41 28 42 18 19 25 22,52 17 33 37 8 43 34 7 21 36,0,1,2
17 29 19 39 14 24 9 15 51,34 1 47 10 26 6 3 2 33 8,5,41,0,1,10,14 15 17 16 39 42 4 7 20 9,34 1 47 26 3 2 8 38 28 52,1,1,1
