hand,wcj,minscore,mindist
45 39 51 6 40 33 16 27 11 7,44,52,3
49 35 25 16 28 17 23 38 44 13,32,60,4
43 6 37 0 1 50 21 52 9 13,20,41,3
45 40 29 43 7 21 17 12 22 50,8,53,5
16 31 50 34 29 23 27 19 46 39,37,47,4
52 22 45 9 40 39 28 10 51 25,36,17,2
29 19 24 23 20 9 3 37 36 33,26,60,4
22 52 19 14 39 45 10 2 44 15,35,22,3
33 10 51 26 44 5 3 35 8 46,22,49,3
13 27 36 43 34 39 9 40 2 52,37,30,3
49 13 31 28 32 35 7 16 2 44,43,60,4
23 21 22 5 40 42 30 13 6 41,47,23,2
6 21 42 34 50 14 3 37 15 30,2,47,3
52 16 18 50 17 39 13 38 32 34,19,24,2
40 38 49 4 0 42 46 45 16 23,32,40,4
30 31 32 26 1 52 4 36 43 24,13,23,2
37 21 52 10 32 49 27 8 36 3,6,18,2
34 14 46 3 39 28 36 24 37 45,2,37,3
32 5 37 17 2 28 16 4 33 39,27,60,3
52 49 1 25 40 21 43 23 29 12,37,47,3
29 38 21 10 16 52 5 24 4 27,47,30,2
36 52 3 6 48 35 28 34 10 1,17,32,3
1 9 47 51 12 3 21 29 13 18,41,60,4
32 10 42 43 5 21 46 24 52 49,25,55,3
52 22 46 41 48 31 27 10 7 40,38,45,3
41 39 29 47 13 49 8 4 31 32,45,36,3
19 52 11 8 16 3 15 28 47 25,49,46,3
41 19 11 48 21 18 14 8 0 25,44,47,3
22 13 10 32 52 52 15 34 36 27,48,3,1
51 49 17 43 42 0 14 36 37 27,11,35,3
27 22 12 29 46 0 39 6 41 38,43,60,4
37 27 15 6 52 11 43 40 48 10,22,28,3
7 10 42 30 20 34 21 26 51 32,13,57,3
14 1 20 15 51 27 48 3 45 47,36,56,3
29 50 48 51 38 49 36 24 35 19,4,53,3
7 39 6 32 10 19 50 15 5 1,46,36,4
3 41 33 47 10 18 45 9 48 2,29,44,2
39 29 50 30 22 13 37 35 40 15,47,60,4
27 45 11 9 20 15 4 49 50 38,28,56,3
4 9 23 42 2 52 31 7 30 19,51,46,3
52 0 52 22 31 2 15 41 21 50,13,7,1
4 24 46 25 23 1 3 33 39 32,40,21,2
27 12 43 5 22 21 1 49 29 8,47,33,3
35 30 32 16 20 52 28 5 24 2,13,49,4
47 43 16 52 38 14 17 40 34 51,32,43,2
3 0 44 27 10 28 7 34 14 40,9,47,4
34 0 15 25 52 18 8 38 43 44,23,46,3
52 29 0 42 24 44 13 21 32 35,28,47,3
18 23 25 38 10 28 14 52 47 46,36,14,1
4 23 37 33 46 1 32 35 0 43,3,60,3
10 52 45 15 21 23 52 35 39 2,47,18,2
37 36 52 42 35 21 43 6 38 39,5,20,2
38 8 21 12 3 29 9 51 24 36,4,60,3
34 1 25 31 0 12 52 24 48 49,7,37,2
15 50 21 7 26 37 38 22 40 23,18,48,3
20 16 50 52 22 51 39 32 7 17,24,28,2
7 23 50 14 28 30 37 16 24 1,19,40,3
14 52 33 50 9 0 19 8 32 39,51,42,3
18 10 47 13 36 30 46 35 51 37,14,54,4
35 14 25 8 1 6 41 20 51 43,50,60,4
34 30 39 2 48 21 23 36 35 16,0,25,3
13 22 25 6 35 15 46 40 24 1,28,35,3
29 41 47 0 1 52 14 12 28 34,6,16,2
37 44 45 9 43 49 23 52 20 11,31,33,2
18 42 26 17 52 40 10 46 12 29,9,37,3
41 37 38 8 3 29 6 52 42 26,9,24,2
46 29 26 44 40 22 7 21 34 13,3,42,3
26 52 13 50 40 21 23 52 10 24,6,17,2
27 50 16 4 13 52 17 43 36 30,37,10,2
49 0 2 22 47 10 19 4 30 41,20,60,4
52 49 26 40 9 0 25 52 8 38,34,17,2
22 1 33 40 51 10 35 49 52 2,41,25,2
3 43 13 32 23 28 39 45 29 9,36,34,3
3 52 49 20 7 52 0 52 46 28,18,11,1
1 12 21 50 47 26 29 46 5 17,43,46,3
26 4 42 11 41 45 52 21 23 14,10,31,4
