init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
48 3 43 21 36 5 33 40 2 29,46 34 32 51 17 42 26 13 30 20,7,13,0,1,9,48 33 9 3 29 16 39 40 2 15,46 34 32 26 27 38 17 30 43 20,1,1,1
48 32 52 28 11 41 27 47 12 3,14 16 49 18 22 46 50 21 45 36,10,0,3,0,12,48 52 47 2 1 3 0 27 28 52,49 22 21 50 36 11 16 29 23 14,1,2,0
26 24 31 27 45 14 32 44 22 6,18 43 9 10 42 40 1 52 12 35,17,0,10,0,3,24 22 23 45 32 6 19 27 14 30,43 10 12 9 52 42 44 40 1 15,1,0,2
7 38 9 50 40 21 36 43 11 47,35 19 4 29 3 41 2 51 12 25,10,16,0,1,4,9 36 11 42 43 44 13 26 40 7,4 3 2 52 19 52 51 12 25 38,1,1,1
42 17 52 45 3 4 41 50 25 33,52 40 5 47 30 46 31 14 51 38,1,44,0,1,1,52 33 7 41 42 3 17 4 45 50,52 47 46 40 5 31 51 38 25 14,0,1,2
38 46 17 25 52 12 6 42 32 41,7 36 5 39 37 11 47 19 48 34,8,0,2,0,10,38 25 12 52 6 32 16 17 21 52,7 5 47 37 11 50 34 19 20 39,0,1,2
10 7 0 14 40 48 49 6 8 41,24 5 52 45 4 32 44 12 46 31,47,0,2,0,6,7 6 8 10 49 23 40 41 42 21,45 44 46 52 32 31 5 4 3 26,2,0,1
44 27 26 50 11 52 48 22 30 47,38 16 18 12 51 35 52 6 33 1,5,0,2,0,10,44 50 48 52 4 6 7 47 8 31,38 12 51 18 35 33 36 52 49 39,0,2,1
43 48 47 6 50 10 5 11 22 52,20 18 31 38 9 29 13 44 40 25,8,0,26,0,2,48 47 50 5 6 7 10 11 9 52,18 31 44 39 40 51 13 29 20 38,2,1,0
4 13 48 15 21 44 33 36 52 24,17 40 50 20 7 41 3 10 28 52,26,4,0,1,6,13 48 50 52 4 17 24 0 25 15,20 46 33 7 52 8 41 40 42 43,1,1,1
10 42 52 31 51 43 24 50 35 46,16 0 5 30 47 15 27 29 18 3,22,0,2,0,14,52 50 11 10 35 8 7 51 12 38,16 29 3 5 18 31 26 27 28 0,0,1,2
