init.score1,init.score2,Strategy 1,Strategy 2,P1 Score,P2 Score,Winner_ID
38,60,mcts-0,Mindist + Opp,47,0,1
35,60,mcts-0,Mindist + Opp,0,32,0
52,39,mcts-0,Mindist + Opp,2,0,1
60,37,mcts-0,Mindist + Opp,13,0,1
29,42,mcts-0,Mindist + Opp,0,10,0
42,43,mcts-0,Mindist + Opp,20,0,1
16,51,mcts-0,Mindist + Opp,13,0,1
60,22,mcts-0,Mindist + Opp,30,0,1
60,47,mcts-0,Mindist + Opp,44,0,1
25,53,mcts-0,Mindist + Opp,0,38,0
29,45,mcts-0,Mindist + Opp,0,7,0
39,29,mcts-0,Mindist + Opp,38,0,1
22,39,mcts-0,Mindist + Opp,9,0,1
27,54,mcts-0,Mindist + Opp,18,0,1
46,25,mcts-0,Mindist + Opp,2,0,1
41,57,mcts-0,Mindist + Opp,3,0,1
21,60,mcts-0,Mindist + Opp,22,0,1
26,43,mcts-0,Mindist + Opp,0,10,0
31,36,mcts-0,Mindist + Opp,0,26,0
34,45,mcts-0,Mindist + Opp,9,0,1
4,60,mcts-0,Mindist + Opp,0,60,0
47,60,mcts-0,Mindist + Opp,41,0,1
55,20,mcts-0,Mindist + Opp,20,0,1
48,35,mcts-0,Mindist + Opp,33,0,1
60,33,mcts-0,Mindist + Opp,44,0,1
22,49,mcts-0,Mindist + Opp,0,20,0
19,60,mcts-0,Mindist + Opp,0,42,0
25,19,mcts-0,Mindist + Opp,5,0,1
53,60,mcts-0,Mindist + Opp,0,20,0
37,60,mcts-0,Mindist + Opp,34,0,1
25,46,mcts-0,Mindist + Opp,0,23,0
60,25,mcts-0,Mindist + Opp,34,0,1
27,49,mcts-0,Mindist + Opp,14,0,1
45,60,mcts-0,Mindist + Opp,0,24,0
48,43,mcts-0,Mindist + Opp,23,0,1
41,24,mcts-0,Mindist + Opp,34,0,1
29,60,mcts-0,Mindist + Opp,0,60,0
49,10,mcts-0,Mindist + Opp,43,0,1
57,2,mcts-0,Mindist + Opp,50,0,1
16,24,mcts-0,Mindist + Opp,48,0,1
60,49,mcts-0,Mindist + Opp,60,0,1
21,21,mcts-0,Mindist + Opp,0,22,0
19,4,mcts-0,Mindist + Opp,2,0,1
36,51,mcts-0,Mindist + Opp,12,0,1
60,25,mcts-0,Mindist + Opp,46,0,1
60,20,mcts-0,Mindist + Opp,29,0,1
46,10,mcts-0,Mindist + Opp,53,0,1
38,60,mcts-0,Mindist + Opp,13,0,1
60,57,mcts-0,Mindist + Opp,17,0,1
45,60,mcts-0,Mindist + Opp,0,20,0
25,18,mcts-0,Mindist + Opp,12,0,1
5,60,mcts-0,Mindist + Opp,0,60,0
50,30,mcts-0,Mindist + Opp,38,0,1
27,51,mcts-0,Mindist + Opp,0,3,0
15,50,mcts-0,Mindist + Opp,0,6,0
41,60,mcts-0,Mindist + Opp,0,42,0
53,60,mcts-0,Mindist + Opp,17,0,1
35,50,mcts-0,Mindist + Opp,30,0,1
9,32,mcts-0,Mindist + Opp,0,26,0
53,54,mcts-0,Mindist + Opp,0,7,0
54,7,mcts-0,Mindist + Opp,24,0,1
60,53,mcts-0,Mindist + Opp,0,6,0
50,19,mcts-0,Mindist + Opp,35,0,1
10,54,mcts-0,Mindist + Opp,0,26,0
21,51,mcts-0,Mindist + Opp,2,0,1
10,41,mcts-0,Mindist + Opp,0,10,0
60,23,mcts-0,Mindist + Opp,60,0,1
15,60,mcts-0,Mindist + Opp,0,60,0
13,42,mcts-0,Mindist + Opp,8,0,1
35,51,mcts-0,Mindist + Opp,0,18,0
60,28,mcts-0,Mindist + Opp,10,0,1
43,54,mcts-0,Mindist + Opp,0,17,0
20,60,mcts-0,Mindist + Opp,2,0,1
39,0,mcts-0,Mindist + Opp,29,0,1
41,60,mcts-0,Mindist + Opp,0,60,0
60,44,mcts-0,Mindist + Opp,24,0,1
47,43,mcts-0,Mindist + Opp,39,0,1
46,44,mcts-0,Mindist + Opp,33,0,1
53,48,mcts-0,Mindist + Opp,2,0,1
38,17,mcts-0,Mindist + Opp,25,0,1
56,31,mcts-0,Mindist + Opp,11,0,1
40,60,mcts-0,Mindist + Opp,10,0,1
39,10,mcts-0,Mindist + Opp,39,0,1
38,35,mcts-0,Mindist + Opp,2,0,1
58,24,mcts-0,Mindist + Opp,47,0,1
32,43,mcts-0,Mindist + Opp,2,0,1
