"","...1","Strategy 1","Strategy 2","P1 Score","P2 Score","Winner_ID","P1_rating","P2_rating","Avg Change in Ratings","Avg Change in Ratings without score modifications"
"4912",5655,"MCTS-50","MCTS-25",39,0,1,1006,968,8,6
"4913",804,"MCTS-0","MCTS-25",12,0,1,999,970,2,5
"4914",2141,"MCTS-25","MCTS-0",39,0,1,964,1005,6,5
"4915",5800,"MCTS-50","MCTS-25",0,44,0,1012,958,6,4
"4916",5981,"MCTS-50","MCTS-25",0,60,0,1020,950,8,4
"4917",5066,"MCTS-50","MCTS-25",0,18,0,1022,948,2,4
"4918",4998,"MCTS-50","MCTS-0",38,0,1,1015,1012,7,5
"4919",2015,"MCTS-25","MCTS-0",0,60,0,960,1000,12,6
"4920",4777,"MCTS-50","MCTS-0",0,38,0,1021,994,6,5
"4921",5259,"MCTS-50","MCTS-25",60,0,1,1009,972,12,6
"4922",4862,"MCTS-50","MCTS-0",0,28,0,1013,990,4,5
"4923",5328,"MCTS-50","MCTS-25",37,0,1,1006,979,7,6
"4924",408,"MCTS-0","MCTS-25",47,0,1,982,987,8,5
"4925",1578,"MCTS-0","MCTS-50",0,2,0,982,1006,0,5
"4926",1064,"MCTS-0","MCTS-50",60,0,1,973,1015,9,5
"4927",4542,"MCTS-50","MCTS-0",23,0,1,1011,977,4,6
"4928",1561,"MCTS-0","MCTS-50",0,60,0,988,1000,11,5
"4929",1577,"MCTS-0","MCTS-50",3,0,1,988,1000,0,5
"4930",828,"MCTS-0","MCTS-25",18,0,1,985,990,3,5
"4931",4097,"MCTS-50","MCTS-0",30,0,1,995,990,5,5
"4932",2436,"MCTS-25","MCTS-0",0,12,0,992,988,2,5
"4933",291,"MCTS-0","MCTS-25",0,27,0,993,987,5,5
"4934",538,"MCTS-0","MCTS-25",0,60,0,1003,977,10,5
"4935",1472,"MCTS-0","MCTS-50",0,60,0,1013,985,10,5
"4936",5063,"MCTS-50","MCTS-25",0,45,0,992,970,7,5
"4937",2299,"MCTS-25","MCTS-0",0,13,0,972,1011,2,6
"4938",815,"MCTS-0","MCTS-25",7,0,1,1010,973,1,6
"4939",5422,"MCTS-50","MCTS-25",60,0,1,981,984,11,5
"4940",4007,"MCTS-50","MCTS-0",7,0,1,980,1011,1,5
"4941",2860,"MCTS-25","MCTS-0",0,2,0,984,1011,0,5
"4942",3983,"MCTS-25","MCTS-50",0,27,0,988,976,4,5
"4943",4978,"MCTS-50","MCTS-0",0,10,0,978,1009,2,6
"4944",4830,"MCTS-50","MCTS-0",2,0,1,978,1009,0,5
"4945",2916,"MCTS-25","MCTS-0",0,60,0,999,998,11,5
"4946",5270,"MCTS-50","MCTS-25",0,3,0,979,998,1,5
"4947",1607,"MCTS-0","MCTS-50",0,60,0,1007,970,9,5
"4948",270,"MCTS-0","MCTS-25",27,0,1,1002,1003,5,5
"4949",4701,"MCTS-50","MCTS-0",6,0,1,969,1003,1,5
"4950",3115,"MCTS-25","MCTS-50",0,47,0,1010,962,7,5
"4951",3384,"MCTS-25","MCTS-50",0,58,0,1018,954,8,4
"4952",4751,"MCTS-50","MCTS-0",60,0,1,945,1012,9,4
"4953",1250,"MCTS-0","MCTS-50",2,0,1,1012,945,0,6
"4954",2011,"MCTS-25","MCTS-0",0,50,0,1026,1004,8,5
"4955",5274,"MCTS-50","MCTS-25",0,52,0,956,1015,11,6
"4956",3576,"MCTS-25","MCTS-50",0,2,0,1015,956,0,4
"4957",5342,"MCTS-50","MCTS-25",0,3,0,957,1014,1,6
"4958",3432,"MCTS-25","MCTS-50",47,0,1,1005,966,9,6
"4959",3838,"MCTS-25","MCTS-50",0,3,0,1005,966,0,4
"4960",5918,"MCTS-50","MCTS-25",0,39,0,973,998,7,6
"4961",5138,"MCTS-50","MCTS-25",60,0,1,964,1007,9,5
"4962",5533,"MCTS-50","MCTS-25",0,59,0,975,996,11,6
"4963",619,"MCTS-0","MCTS-25",0,45,0,1011,989,7,5
"4964",2758,"MCTS-25","MCTS-0",0,12,0,991,1009,2,5
"4965",3404,"MCTS-25","MCTS-50",11,0,1,989,977,2,5
"4966",2364,"MCTS-25","MCTS-0",0,27,0,994,1004,5,5
"4967",5149,"MCTS-50","MCTS-25",60,0,1,967,1004,10,5
"4968",3873,"MCTS-25","MCTS-50",0,60,0,1013,958,9,4
"4969",3762,"MCTS-25","MCTS-50",0,45,0,1019,952,6,4
"4970",2636,"MCTS-25","MCTS-0",0,3,0,1019,1004,0,5
"4971",4735,"MCTS-50","MCTS-0",0,32,0,958,998,6,6
"4972",2753,"MCTS-25","MCTS-0",60,0,1,1008,1009,11,5
"4973",3092,"MCTS-25","MCTS-50",44,0,1,1000,966,8,6
"4974",3034,"MCTS-25","MCTS-50",0,60,0,1009,957,9,5
"4975",285,"MCTS-0","MCTS-25",0,7,0,1010,1008,1,5
"4976",1495,"MCTS-0","MCTS-50",60,0,1,998,969,12,6
"4977",1892,"MCTS-0","MCTS-50",35,0,1,992,975,6,5
"4978",4305,"MCTS-50","MCTS-0",0,37,0,981,986,6,5
"4979",1758,"MCTS-0","MCTS-50",0,5,0,987,980,1,5
"4980",3259,"MCTS-25","MCTS-50",0,30,0,1013,975,5,5
"4981",1226,"MCTS-0","MCTS-50",26,15,1,985,977,2,5
"4982",742,"MCTS-0","MCTS-25",0,45,0,993,1005,8,5
"4983",2503,"MCTS-25","MCTS-0",0,47,0,1013,985,8,5
"4984",4538,"MCTS-50","MCTS-0",0,60,0,987,975,10,5
"4985",5947,"MCTS-50","MCTS-25",60,0,1,978,1022,9,5
"4986",2417,"MCTS-25","MCTS-0",0,60,0,1031,966,9,4
"4987",3712,"MCTS-25","MCTS-50",0,48,0,1038,971,7,4
"4988",4524,"MCTS-50","MCTS-0",2,0,1,971,966,0,5
