"","Strategy 1","Strategy 2","P1 Score","P2 Score","Winner_ID"
"463","MCTS-10","Mindist+Opp",17,0,1
"464","MCTS-10","Mindist+Opp",11,0,1
"465","MCTS-10","Mindist+Opp",15,0,1
"466","MCTS-10","Mindist+Opp",0,44,0
"467","MCTS-10","Mindist+Opp",0,31,0
"468","MCTS-10","Mindist+Opp",60,0,1
"469","MCTS-10","Mindist+Opp",20,0,1
"470","MCTS-10","Mindist+Opp",14,0,1
"471","MCTS-10","Mindist+Opp",0,26,0
"472","MCTS-10","Mindist+Opp",0,40,0
"473","MCTS-10","Mindist+Opp",48,0,1
"474","MCTS-10","Mindist+Opp",14,0,1
"475","MCTS-10","Mindist+Opp",8,0,1
"476","MCTS-10","Mindist+Opp",20,0,1
"477","MCTS-10","Mindist+Opp",49,0,1
"478","MCTS-10","Mindist+Opp",0,0,1
"479","MCTS-10","Mindist+Opp",0,13,0
"480","MCTS-10","Mindist+Opp",2,0,1
"481","MCTS-10","Mindist+Opp",7,0,1
"482","MCTS-10","Mindist+Opp",54,0,1
"483","MCTS-10","Mindist+Opp",60,0,1
"484","MCTS-10","Mindist+Opp",19,0,1
"485","MCTS-10","Mindist+Opp",5,0,1
"486","MCTS-10","Mindist+Opp",0,46,0
"487","MCTS-10","Mindist+Opp",32,0,1
"488","MCTS-10","Mindist+Opp",0,33,0
"489","MCTS-10","Mindist+Opp",15,0,1
"490","MCTS-10","Mindist+Opp",0,14,0
"491","MCTS-10","Mindist+Opp",28,0,1
"492","MCTS-10","Mindist+Opp",18,0,1
"493","MCTS-10","Mindist+Opp",40,0,1
"494","MCTS-10","Mindist+Opp",18,0,1
"495","MCTS-10","Mindist+Opp",21,0,1
"496","MCTS-10","Mindist+Opp",4,0,1
"497","MCTS-10","Mindist+Opp",10,0,1
"498","MCTS-10","Mindist+Opp",46,0,1
"499","MCTS-10","Mindist+Opp",25,0,1
"500","MCTS-10","Mindist+Opp",7,0,1
"501","MCTS-10","Mindist+Opp",0,23,0
"502","MCTS-10","Mindist+Opp",50,0,1
"503","MCTS-10","Mindist+Opp",21,0,1
"504","MCTS-10","Mindist+Opp",29,0,1
"505","MCTS-10","Mindist+Opp",0,48,0
"506","MCTS-10","Mindist+Opp",0,26,0
"507","MCTS-10","Mindist+Opp",36,0,1
"508","MCTS-10","Mindist+Opp",17,0,1
"509","MCTS-10","Mindist+Opp",14,0,1
"510","MCTS-10","Mindist+Opp",0,38,0
"511","MCTS-10","Mindist+Opp",40,0,1
"512","MCTS-10","Mindist+Opp",60,0,1
"513","MCTS-10","Mindist+Opp",4,0,1
"514","MCTS-10","Mindist+Opp",0,18,0
"515","MCTS-10","Mindist+Opp",0,39,0
"516","MCTS-10","Mindist+Opp",23,0,1
"517","MCTS-10","Mindist+Opp",17,0,1
"518","MCTS-10","Mindist+Opp",11,0,1
"519","MCTS-10","Mindist+Opp",55,0,1
"520","MCTS-10","Mindist+Opp",21,0,1
"521","MCTS-10","Mindist+Opp",0,10,0
"522","MCTS-10","Mindist+Opp",12,0,1
"523","MCTS-10","Mindist+Opp",27,0,1
"524","MCTS-10","Mindist+Opp",32,0,1
"525","MCTS-10","Mindist+Opp",0,25,0
"526","MCTS-10","Mindist+Opp",33,0,1
"527","MCTS-10","Mindist+Opp",50,0,1
"528","MCTS-10","Mindist+Opp",13,0,1
"529","MCTS-10","Mindist+Opp",0,16,0
"530","MCTS-10","Mindist+Opp",2,0,1
"531","MCTS-10","Mindist+Opp",60,0,1
"532","MCTS-10","Mindist+Opp",40,0,1
"533","MCTS-10","Mindist+Opp",0,15,0
"534","MCTS-10","Mindist+Opp",48,0,1
"535","MCTS-10","Mindist+Opp",50,0,1
"536","MCTS-10","Mindist+Opp",0,24,0
"537","MCTS-10","Mindist+Opp",52,0,1
"538","MCTS-10","Mindist+Opp",0,57,0
"539","MCTS-10","Mindist+Opp",60,0,1
"540","MCTS-10","Mindist+Opp",23,0,1
"541","MCTS-10","Mindist+Opp",51,0,1
"542","MCTS-10","Mindist+Opp",0,43,0
"543","MCTS-10","Mindist+Opp",44,0,1
"544","MCTS-10","Mindist+Opp",0,6,0
"545","MCTS-10","Mindist+Opp",13,0,1
"546","MCTS-10","Mindist+Opp",3,0,1
"547","MCTS-10","Mindist+Opp",39,0,1
"548","MCTS-10","Mindist+Opp",60,0,1
"549","MCTS-10","Mindist+Opp",9,0,1
"550","MCTS-10","Mindist+Opp",60,0,1
"551","MCTS-10","Mindist+Opp",21,0,1
"552","MCTS-10","Mindist+Opp",11,0,1
